index,year,url,title,timestamp,take_explanation,take,publisher,path,pages,editor,booktitle,biburl,bibsource,author,ENTRYTYPE,ID,doi,volume,series,number,journal,eprint,archiveprefix
0,2018,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17082,Deep Learning for Case-Based Reasoning Through Prototypes: A Neural Network That Explains Its Predictions,"Tue, 23 Oct 2018 06:42:15 +0200","Interpretable model, not explanation method.",No,{AAAI} Press,Feature Attribution\dblp\scan.bib,3530--3537,"Sheila A. McIlraith and
Kilian Q. Weinberger","Proceedings of the Thirty-Second {AAAI} Conference on Artificial Intelligence,
(AAAI-18), the 30th innovative Applications of Artificial Intelligence
(IAAI-18), and the 8th {AAAI} Symposium on Educational Advances in
Artificial Intelligence (EAAI-18), New Orleans, Louisiana, USA, February
2-7, 2018",https://dblp.org/rec/conf/aaai/LiLCR18.bib,"dblp computer science bibliography, https://dblp.org","Oscar Li and
Hao Liu and
Chaofan Chen and
Cynthia Rudin",inproceedings,DBLP:conf/aaai/LiLCR18,,,,,,,
1,2019,https://doi.org/10.1609/aaai.v33i01.330110035,Desiderata for Interpretability: Explaining Decision Tree Predictions with Counterfactuals,"Wed, 25 Sep 2019 01:00:00 +0200","About counterfactuals, not attributions.",No,{AAAI} Press,Feature Attribution\dblp\scan.bib,10035--10036,,"The Thirty-Third {AAAI} Conference on Artificial Intelligence, {AAAI}
2019, The Thirty-First Innovative Applications of Artificial Intelligence
Conference, {IAAI} 2019, The Ninth {AAAI} Symposium on Educational
Advances in Artificial Intelligence, {EAAI} 2019, Honolulu, Hawaii,
USA, January 27 - February 1, 2019",https://dblp.org/rec/conf/aaai/SokolF19a.bib,"dblp computer science bibliography, https://dblp.org","Kacper Sokol and
Peter A. Flach",inproceedings,DBLP:conf/aaai/SokolF19a,10.1609/aaai.v33i01.330110035,,,,,,
2,2019,https://doi.org/10.18653/v1/p19-1284,Interpretable Neural Predictions with Differentiable Binary Variables,"Tue, 28 Jan 2020 00:00:00 +0100","Interpretable model, not attribution.",No,Association for Computational Linguistics,Feature Attribution\dblp\scan.bib,2963--2977,"Anna Korhonen and
David R. Traum and
Llu{\'{\i}}s M{\`{a}}rquez","Proceedings of the 57th Conference of the Association for Computational
Linguistics, {ACL} 2019, Florence, Italy, July 28- August 2, 2019,
Volume 1: Long Papers",https://dblp.org/rec/conf/acl/BastingsAT19.bib,"dblp computer science bibliography, https://dblp.org","Joost Bastings and
Wilker Aziz and
Ivan Titov",inproceedings,DBLP:conf/acl/BastingsAT19,10.18653/v1/p19-1284,,,,,,
3,2019,http://proceedings.mlr.press/v89/khanna19a.html,Interpreting Black Box Predictions using Fisher Kernels,"Fri, 07 Jun 2019 09:03:47 +0200","About instance importance, not attribution.",No,{PMLR},Feature Attribution\dblp\scan.bib,3382--3390,"Kamalika Chaudhuri and
Masashi Sugiyama","The 22nd International Conference on Artificial Intelligence and Statistics,
{AISTATS} 2019, 16-18 April 2019, Naha, Okinawa, Japan",https://dblp.org/rec/conf/aistats/KhannaKGK19.bib,"dblp computer science bibliography, https://dblp.org","Rajiv Khanna and
Been Kim and
Joydeep Ghosh and
Sanmi Koyejo",inproceedings,DBLP:conf/aistats/KhannaKGK19,,89,Proceedings of Machine Learning Research,,,,
4,2017,https://doi.org/10.1145/3107411.3107445,Interpretable Predictions of Clinical Outcomes with An Attention-based Recurrent Neural Network,"Tue, 06 Nov 2018 00:00:00 +0100","Interpretable model, not attribution.",No,{ACM},Feature Attribution\dblp\scan.bib,233--240,"Nurit Haspel and
Lenore J. Cowen and
Amarda Shehu and
Tamer Kahveci and
Giuseppe Pozzi","Proceedings of the 8th {ACM} International Conference on Bioinformatics,
Computational Biology, and Health Informatics, {BCB} 2017, Boston,
MA, USA, August 20-23, 2017",https://dblp.org/rec/conf/bcb/ShaW17.bib,"dblp computer science bibliography, https://dblp.org","Ying Sha and
May D. Wang",inproceedings,DBLP:conf/bcb/ShaW17,10.1145/3107411.3107445,,,,,,
5,2019,https://doi.org/10.1109/CBMS.2019.00080,"Assessing K-Nearest Neighbours Algorithm for Simple, Interpretable Time-to-Event Survival Predictions Over a Range of Simulated Datasets","Wed, 16 Oct 2019 14:14:49 +0200",Different topic and not about attribution.,No,{IEEE},Feature Attribution\dblp\scan.bib,367--372,,"32nd {IEEE} International Symposium on Computer-Based Medical Systems,
{CBMS} 2019, Cordoba, Spain, June 5-7, 2019",https://dblp.org/rec/conf/cbms/KroupaMCW19.bib,"dblp computer science bibliography, https://dblp.org","Pavel Kroupa and
Caroline Morton and
Kerlann Le Calvez and
Matt Williams",inproceedings,DBLP:conf/cbms/KroupaMCW19,10.1109/CBMS.2019.00080,,,,,,
6,2017,https://doi.org/10.1145/3025453.3025592,Explaining the Gap: Visualizing One's Predictions Improves Recall and Comprehension of Data,"Tue, 06 Nov 2018 16:58:42 +0100",About visualisation.,No,{ACM},Feature Attribution\dblp\scan.bib,1375--1386,"Gloria Mark and
Susan R. Fussell and
Cliff Lampe and
m. c. schraefel and
Juan Pablo Hourcade and
Caroline Appert and
Daniel Wigdor","Proceedings of the 2017 {CHI} Conference on Human Factors in Computing
Systems, Denver, CO, USA, May 06-11, 2017",https://dblp.org/rec/conf/chi/KimRH17.bib,"dblp computer science bibliography, https://dblp.org","Yea{-}Seul Kim and
Katharina Reinecke and
Jessica Hullman",inproceedings,DBLP:conf/chi/KimRH17,10.1145/3025453.3025592,,,,,,
7,2017,https://mindmodeling.org/cogsci2017/papers/0661/index.html,The Interaction of Bayesian Pragmatics and Lexical Semantics in Linguistic Interpretation: Using Event-related Potentials to Investigate Hearers' Probabilistic Predictions,"Fri, 12 Jan 2018 12:36:09 +0100",Different topic and not about attribution.,No,cognitivesciencesociety.org,Feature Attribution\dblp\scan.bib,,"Glenn Gunzelmann and
Andrew Howes and
Thora Tenbrink and
Eddy J. Davelaar","Proceedings of the 39th Annual Meeting of the Cognitive Science Society,
CogSci 2017, London, UK, 16-29 July 2017",https://dblp.org/rec/conf/cogsci/WerningC17.bib,"dblp computer science bibliography, https://dblp.org","Markus Werning and
Erica Cosentino",inproceedings,DBLP:conf/cogsci/WerningC17,,,,,,,
8,2019,https://doi.org/10.18653/v1/D19-3002,AllenNLP Interpret: A Framework for Explaining Predictions of NLP Models,"Fri, 13 Dec 2019 13:04:07 +0100",Features overview over some attribution methods.,Yes,Association for Computational Linguistics,Feature Attribution\dblp\scan.bib,7--12,"Sebastian Pad{\'{o}} and
Ruihong Huang","Proceedings of the 2019 Conference on Empirical Methods in Natural
Language Processing and the 9th International Joint Conference on
Natural Language Processing, {EMNLP-IJCNLP} 2019, Hong Kong, China,
November 3-7, 2019 - System Demonstrations",https://dblp.org/rec/conf/emnlp/WallaceTWSGS19.bib,"dblp computer science bibliography, https://dblp.org","Eric Wallace and
Jens Tuyls and
Junlin Wang and
Sanjay Subramanian and
Matt Gardner and
Sameer Singh",inproceedings,DBLP:conf/emnlp/WallaceTWSGS19,10.18653/v1/D19-3002,,,,,,
9,2019,https://doi.org/10.2991/eusflat-19.2019.24,Explaining Computer Predictions with Augmented Appraisal Degrees,"Wed, 13 May 2020 16:51:00 +0200",Not about attribution.,No,Atlantis Press,Feature Attribution\dblp\scan.bib,,"Vil{\'{e}}m Nov{\'{a}}k and
Vladim{\'{\i}}r Mar{\'{\i}}k and
Martin Stepnicka and
Mirko Navara and
Petr Hurt{\'{\i}}k","Proceedings of the 11th Conference of the European Society for Fuzzy
Logic and Technology, {EUSFLAT} 2019, Prague, Czech Republic, September
9-13, 2019",https://dblp.org/rec/conf/eusflat/LoorT19.bib,"dblp computer science bibliography, https://dblp.org","Marcelo Loor and
Guy De Tr{\'{e}}",inproceedings,DBLP:conf/eusflat/LoorT19,10.2991/eusflat-19.2019.24,1,Atlantis Studies in Uncertainty Modelling,,,,
