author,title,journal,year,volume,doi,art_number,note,url,affiliation,abstract,author_keywords,document_type,source,take,number,pages,page_count,take_explanation
"Silver, J.D. and Spriggs, K. and Haberle, S.G. and Katelaris, C.H. and Newbigin, E.J. and Lampugnani, E.R.",Using crowd-sourced allergic rhinitis symptom data to improve grass pollen forecasts and predict individual symptoms,Science of the Total Environment,2020,720,10.1016/j.scitotenv.2020.137351,137351,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080984294&doi=10.1016%2fj.scitotenv.2020.137351&partnerID=40&md5=2b4de9dc306c2fe9088526b413633d7b,"School of Earth Sciences, University of Melbourne, Parkville, Victoria, Australia; Melbourne Medical School, University of Melbourne, Parkville, Victoria, Australia; Department of Allergy and Immunology, Royal Melbourne Hospital, Parkville, Victoria, Australia; School of Culture, History and Language, College of Asia and the Pacific, Australian National University Canberra, Canberra, Australian Capital Territory, Australia; ARC Centre of Excellence for Australian Biodiversity and Heritage, Australian National University, Canberra, Australian Capital Territory, Australia; Western Sydney University and Campbelltown HospitalNew South Wales, Australia; School of BioSciences, University of Melbourne, Parkville, Victoria, Australia","Seasonal allergic rhinitis (AR), also known as hay fever, is a common respiratory condition brought on by a range of environmental triggers. Previous work has characterised the relationships between community-level AR symptoms collected using mobile apps in two Australian cities, Canberra and Melbourne, and various environmental covariates including pollen. Here, we build on these relationships by assessing the skill of models that provide a next-day forecast of an individual's risk of developing AR and that nowcast ambient grass pollen concentrations using crowd-sourced AR symptoms as a predictor. Categorical grass pollen forecasts (low/moderate/high) were made based on binning mean daily symptom scores by corresponding categories. Models for an individual's risk were constructed by forward variable selection, considering environmental, demographic, behaviour and health-related inputs, with non-linear responses permitted. Proportional-odds logistic regression was then applied with the variables selected, modelling the symptom scores on their original five-point scale. AR symptom-based estimates of today's average grass pollen concentration were more accurate than those provided by two benchmark forecasting methods using various metrics for assessing accuracy. Predictions of an individual's next-day AR symptoms rated on a five-point scale were correct in 36% of cases and within one point on this scale in 82% of cases. Both outcomes were significantly better than chance. This large-scale AR symptoms measurement program shows that crowd-sourced symptom scores can be used to predict the daily average grass pollen concentration, as well as provide a personalised AR forecast. Â© 2020 Elsevier B.V.",Allergic rhinitis;  Citizen science;  Modelling;  Pollen;  Symptom score,Article,Scopus,False,,,,Not about reporting delay.
"Brester, C. and Ryzhikov, I. and Siponen, S. and Jayaprakash, B. and Ikonen, J. and PitkÃ¤nen, T. and Miettinen, I.T. and Torvinen, E. and Kolehmainen, M.",Potential and limitations of a pilot-scale drinking water distribution system for bacterial community predictive modelling,Science of the Total Environment,2020,717,10.1016/j.scitotenv.2020.137249,137249,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079433575&doi=10.1016%2fj.scitotenv.2020.137249&partnerID=40&md5=41d784de4dff9c3f550a29f69bd74a66,"Department of Environmental and Biological Sciences, University of Eastern Finland, P.O. Box 1627, Kuopio, FI-70211, Finland; Department of Health Security, Expert Microbiology Unit, National Institute for Health and Welfare, P.O. Box 95, Kuopio, FI-70701, Finland","Waterborne disease outbreaks are a persistent and serious threat to public health according to reported incidents across the globe. Online drinking water quality monitoring technologies have evolved substantially and have become more accurate and accessible. However, using online measurements alone is unsuitable for detecting microbial regrowth, potentially including harmful species, ahead of time in the distribution systems. Alternatively, observational data could be collected periodically, e.g. once per week or once per month and it could include a representative set of variables: physicochemical water characteristics, disinfectant concentrations, and bacterial abundances, which would be a valuable source of knowledge for predictive modelling that aims to reveal pathogen-related threats. In this study, we utilised data collected from a pilot-scale drinking water distribution system. A data-driven random forest model was used for predictive modelling and was trained for nowcasting and forecasting abundances of bacterial groups. In all the experiments, we followed the realistic crossline scenario, which means that when training and testing the models the data is collected from different pipelines. In spite of the more accurate results of the nowcasting, the 1-week forecasting still provided accurate predictions of the most abundant bacteria, their rapid increase and decrease. In the future predictive modelling might be used as a tool in designing control measures for opportunistic pathogens which are able to multiply in the favourable conditions in drinking water distribution systems (DWDS). Eventually, the forecasting information will be able to produce practically helpful data for controlling the DWDS regrowth. Â© 2020 Elsevier B.V.",Absolute read count;  Bacterial abundance;  Forecasting;  Nowcasting;  Random forest;  Water pipeline,Article,Scopus,False,,,,Not about reporting delay. No focus on statistical methods.
"Szczesniak, R.D. and Su, W. and Brokamp, C. and Keogh, R.H. and Pestian, J.P. and Seid, M. and Diggle, P.J. and Clancy, J.P.",Dynamic predictive probabilities to monitor rapid cystic fibrosis disease progression,Statistics in Medicine,2020,39,10.1002/sim.8443,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076348034&doi=10.1002%2fsim.8443&partnerID=40&md5=921588b71fce14255d2c920ec707104b,"Division of Biostatistics & Epidemiology, Cincinnati Children's Hospital Medical Center and Department of Pediatrics, University of Cincinnati, Cincinnati, OH, United States; Department of Mathematical Sciences, University of Cincinnati, Cincinnati, OH, United States; Department of Medical Statistics, London School of Hygiene and Tropical Medicine, London, United Kingdom; Division of Biomedical Informatics, Cincinnati Children's Hospital Medical Center, and Department of Pediatrics, University of Cincinnati, Cincinnati, OH, United States; James M. Anderson Center for Health Systems Excellence and Department of Pediatrics, University of Cincinnati, Cincinnati, OH, United States; CHICAS, Lancaster Medical School Lancaster University Lancaster, UK and Health Data Research UK, London, United Kingdom; Division of Pulmonary Medicine, Cincinnati Children's Hospital Medical Center and Department of Pediatrics, University of Cincinnati, Cincinnati, OH, United States; Cystic Fibrosis Foundation, Bethesda, MD, United States","Cystic fibrosis (CF) is a progressive, genetic disease characterized by frequent, prolonged drops in lung function. Accurately predicting rapid underlying lung-function decline is essential for clinical decision support and timely intervention. Determining whether an individual is experiencing a period of rapid decline is complicated due to its heterogeneous timing and extent, and error component of the measured lung function. We construct individualized predictive probabilities for ânowcastingâ rapid decline. We assume each patient's true longitudinal lung function, S(t), follows a nonlinear, nonstationary stochastic process, and accommodate between-patient heterogeneity through random effects. Corresponding lung-function decline at time t is defined as the rate of change, Sâ²(t). We predict Sâ²(t) conditional on observed covariate and measurement history by modeling a measured lung function as a noisy version of S(t). The method is applied to data on 30 879 US CF Registry patients. Results are contrasted with a currently employed decision rule using single-center data on 212 individuals. Rapid decline is identified earlier using predictive probabilities than the center's currently employed decision rule (mean difference: 0.65 years; 95% confidence interval (CI): 0.41, 0.89). We constructed a bootstrapping algorithm to obtain CIs for predictive probabilities. We illustrate real-time implementation with R Shiny. Predictive accuracy is investigated using empirical simulations, which suggest this approach more accurately detects peak decline, compared with a uniform threshold of rapid decline. Median area under the ROC curve estimates (Q1-Q3) were 0.817 (0.814-0.822) and 0.745 (0.741-0.747), respectively, implying reasonable accuracy for both. This article demonstrates how individualized rate of change estimates can be coupled with probabilistic predictive inference and implementation for a useful medical-monitoring approach. Â© 2019 The Authors. Statistics in Medicine published by John Wiley & Sons, Ltd.",longitudinal data analysis;  medical monitoring;  nonstationary process;  nowcasting;  predictive probability distributions,Article,Scopus,False,6,740-756,,Not about reporting delay. Not about public health.
"Rotejanaprasert, C. and Ekapirat, N. and Areechokchai, D. and Maude, R.J.",Bayesian spatiotemporal modeling with sliding windows to correct reporting delays for real-time dengue surveillance in Thailand,International Journal of Health Geographics,2020,19,10.1186/s12942-020-00199-0,4,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081042937&doi=10.1186%2fs12942-020-00199-0&partnerID=40&md5=12408692049e7003318970a352791689,"Department of Tropical Hygiene, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand; Mahidol-Oxford Tropical Medicine Research Unit, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand; Bureau of Vector Borne Disease, Department of Disease Control, Ministry of Public Health, Nonthaburi, Thailand; Harvard T.H. Chan School of Public Health, Harvard University, Cambridge, MA, United States; Nuffield Department of Medicine, Centre for Tropical Medicine and Global Health, University of Oxford, Oxford, United Kingdom","Background: The ability to produce timely and accurate estimation of dengue cases can significantly impact disease control programs. A key challenge for dengue control in Thailand is the systematic delay in reporting at different levels in the surveillance system. Efficient and reliable surveillance and notification systems are vital to monitor health outcome trends and early detection of disease outbreaks which vary in space and time. Methods: Predicting the trend in dengue cases in real-time is a challenging task in Thailand due to a combination of factors including reporting delays. We present decision support using a spatiotemporal nowcasting model which accounts for reporting delays in a Bayesian framework with sliding windows. A case study is presented to demonstrate the proposed nowcasting method using weekly dengue surveillance data in Bangkok at district level in 2010. Results: The overall real-time estimation accuracy was 70.69% with 59.05% and 79.59% accuracy during low and high seasons averaged across all weeks and districts. The results suggest the model was able to give a reasonable estimate of the true numbers of cases in the presence of delayed reports in the surveillance system. With sliding windows, models could also produce similar accuracy to estimation with the whole data. Conclusions: A persistent challenge for the statistical and epidemiological communities is to transform data into evidence-based knowledge that facilitates policy making about health improvements and disease control at the individual and population levels. Improving real-time estimation of infectious disease incidence is an important technical development. The effort in this work provides a template for nowcasting in practice to inform decision making for dengue control. Â© 2020 The Author(s).",Bayesian;  Delay;  Dengue;  Real time;  Spatiotemporal;  Surveillance,Article,Scopus,True,1,,,
"Wu, J.T. and Leung, K. and Leung, G.M.","Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study",The Lancet,2020,395,10.1016/S0140-6736(20)30260-9,,cited By 86,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078864717&doi=10.1016%2fS0140-6736%2820%2930260-9&partnerID=40&md5=0a3deda21971a6baa6d185965e4e33c5,"WHO Collaborating Centre for Infectious Disease Epidemiology and Control, School of Public Health, Li Ka Shing Faculty of Medicine, University of Hong Kong, Hong Kong, Hong Kong","Background: Since Dec 31, 2019, the Chinese city of Wuhan has reported an outbreak of atypical pneumonia caused by the 2019 novel coronavirus (2019-nCoV). Cases have been exported to other Chinese cities, as well as internationally, threatening to trigger a global outbreak. Here, we provide an estimate of the size of the epidemic in Wuhan on the basis of the number of cases exported from Wuhan to cities outside mainland China and forecast the extent of the domestic and global public health risks of epidemics, accounting for social and non-pharmaceutical prevention interventions. Methods: We used data from Dec 31, 2019, to Jan 28, 2020, on the number of cases exported from Wuhan internationally (known days of symptom onset from Dec 25, 2019, to Jan 19, 2020) to infer the number of infections in Wuhan from Dec 1, 2019, to Jan 25, 2020. Cases exported domestically were then estimated. We forecasted the national and global spread of 2019-nCoV, accounting for the effect of the metropolitan-wide quarantine of Wuhan and surrounding cities, which began Jan 23â24, 2020. We used data on monthly flight bookings from the Official Aviation Guide and data on human mobility across more than 300 prefecture-level cities in mainland China from the Tencent database. Data on confirmed cases were obtained from the reports published by the Chinese Center for Disease Control and Prevention. Serial interval estimates were based on previous studies of severe acute respiratory syndrome coronavirus (SARS-CoV). A susceptible-exposed-infectious-recovered metapopulation model was used to simulate the epidemics across all major cities in China. The basic reproductive number was estimated using Markov Chain Monte Carlo methods and presented using the resulting posterior mean and 95% credibile interval (CrI). Findings: In our baseline scenario, we estimated that the basic reproductive number for 2019-nCoV was 2Â·68 (95% CrI 2Â·47â2Â·86) and that 75 815 individuals (95% CrI 37 304â130 330) have been infected in Wuhan as of Jan 25, 2020. The epidemic doubling time was 6Â·4 days (95% CrI 5Â·8â7Â·1). We estimated that in the baseline scenario, Chongqing, Beijing, Shanghai, Guangzhou, and Shenzhen had imported 461 (95% CrI 227â805), 113 (57â193), 98 (49â168), 111 (56â191), and 80 (40â139) infections from Wuhan, respectively. If the transmissibility of 2019-nCoV were similar everywhere domestically and over time, we inferred that epidemics are already growing exponentially in multiple major cities of China with a lag time behind the Wuhan outbreak of about 1â2 weeks. Interpretation: Given that 2019-nCoV is no longer contained within Wuhan, other major Chinese cities are probably sustaining localised outbreaks. Large cities overseas with close transport links to China could also become outbreak epicentres, unless substantial public health interventions at both the population and personal levels are implemented immediately. Independent self-sustaining outbreaks in major cities globally could become inevitable because of substantial exportation of presymptomatic cases and in the absence of large-scale public health interventions. Preparedness plans and mitigation interventions should be readied for quick deployment globally. Funding: Health and Medical Research Fund (Hong Kong, China). Â© 2020 Elsevier Ltd",,Article,Scopus,False,10225,689-697,,"No focus on statistical time series methods, rather modeling."
"Memon, S.A. and Razak, S. and Weber, I.",Lifestyle Disease Surveillance Using Population Search Behavior: Feasibility Study,Journal of medical Internet research,2020,22,10.2196/13347,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078886046&doi=10.2196%2f13347&partnerID=40&md5=89de7db80efa3bff4e6de0e59bff5b37,"Language Technologies Institute, School of Computer Science, Carnegie Mellon University, Pittsburgh, United States; Carnegie Mellon University, Doha, Qatar; Social Computing Department, Qatar Computing Research Institute, Hamad Bin Khalifa University, Doha, Qatar","BACKGROUND: As the process of producing official health statistics for lifestyle diseases is slow, researchers have explored using Web search data as a proxy for lifestyle disease surveillance. Existing studies, however, are prone to at least one of the following issues: ad-hoc keyword selection, overfitting, insufficient predictive evaluation, lack of generalization, and failure to compare against trivial baselines. OBJECTIVE: The aims of this study were to (1) employ a corrective approach improving previous methods; (2) study the key limitations in using Google Trends for lifestyle disease surveillance; and (3) test the generalizability of our methodology to other countries beyond the United States. METHODS: For each of the target variables (diabetes, obesity, and exercise), prevalence rates were collected. After a rigorous keyword selection process, data from Google Trends were collected. These data were denormalized to form spatio-temporal indices. L1-regularized regression models were trained to predict prevalence rates from denormalized Google Trends indices. Models were tested on a held-out set and compared against baselines from the literature as well as a trivial last year equals this year baseline. A similar analysis was done using a multivariate spatio-temporal model where the previous year's prevalence was included as a covariate. This model was modified to create a time-lagged regression analysis framework. Finally, a hierarchical time-lagged multivariate spatio-temporal model was created to account for subnational trends in the data. The model trained on US data was, then, applied in a transfer learning framework to Canada. RESULTS: In the US context, our proposed models beat the performances of the prior work, as well as the trivial baselines. In terms of the mean absolute error (MAE), the best of our proposed models yields 24% improvement (0.72-0.55; P<.001) for diabetes; 18% improvement (1.20-0.99; P=.001) for obesity, and 34% improvement (2.89-1.95; P<.001) for exercise. Our proposed across-country transfer learning framework also shows promising results with an average Spearman and Pearson correlation of 0.70 for diabetes and 0.90 and 0.91 for obesity, respectively. CONCLUSIONS: Although our proposed models beat the baselines, we find the modeling of lifestyle diseases to be a challenging problem, one that requires an abundance of data as well as creative modeling strategies. In doing so, this study shows a low-to-moderate validity of Google Trends in the context of lifestyle disease surveillance, even when applying novel corrective approaches, including a proposed denormalization scheme. We envision qualitative analyses to be a more practical use of Google Trends in the context of lifestyle disease surveillance. For the quantitative analyses, the highest utility of using Google Trends is in the context of transfer learning where low-resource countries could benefit from high-resource countries by using proxy models. Â©Shahan Ali Memon, Saquib Razak, Ingmar Weber. Originally published in the Journal of Medical Internet Research (http://www.jmir.org), 27.01.2020.",digital epidemiology;  Google Trends;  infodemiology;  infoveillance;  lifestyle disease surveillance;  noncommunicable diseases;  nowcasting;  public health;  Web search,Article,Scopus,False,1,e13347,,Focus not on statistical methods but on additional data sources.
"Lu, F.S. and Hattab, M.W. and Clemente, C.L. and Biggerstaff, M. and Santillana, M.",Improved state-level influenza nowcasting in the United States leveraging Internet-based data and network approaches,Nature Communications,2019,10,10.1038/s41467-018-08082-0,147,cited By 7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059912362&doi=10.1038%2fs41467-018-08082-0&partnerID=40&md5=45ac681e3d5b7f68fb1ec87d12af2694,"Computational Health Informatics Program, Boston Childrenâs Hospital, Boston, MA  02115, United States; Wyss Institute for Biologically Inspired Engineering, Harvard Medical School, Boston, MA  02115, United States; TecnolÃ³gico de Monterrey, Monterrey, N.L.  64849, Mexico; Influenza Division, National Center for Immunization and Respiratory Disease, Centers for Disease Control and Prevention, Atlanta, GA  30333, United States; Department of Pediatrics, Harvard Medical School, Boston, MA  02115, United States","In the presence of health threats, precision public health approaches aim to provide targeted, timely, and population-specific interventions. Accurate surveillance methodologies that can estimate infectious disease activity ahead of official healthcare-based reports, at relevant spatial resolutions, are important for achieving this goal. Here we introduce a methodological frameworkÂ which dynamically combines two distinct influenza tracking techniques, using an ensemble machine learning approach, to achieve improved state-level influenza activity estimates in the United States. The two predictive techniques behind the ensemble utilize (1)Â a self-correcting statistical method combining influenza-related Google search frequencies, information from electronic health records, and historical fluÂ trends within each state, andÂ (2) a network-based approach leveraging spatio-temporal synchronicities observed in historical influenza activity across states. The ensemble considerably outperforms each component method in addition to previously proposed state-specific methods for influenza tracking, with higher correlations and lower prediction errors. Â© 2019, The Author(s).",,Article,Scopus,True,1,,,Seems to likely feature also statistical method for time series.
"Van De Kassteele, J. and Eilers, P.H.C. and Wallinga, J.",Nowcasting the Number of New Symptomatic Cases During Infectious Disease Outbreaks Using Constrained P-spline Smoothing,Epidemiology,2019,30,10.1097/EDE.0000000000001050,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071069353&doi=10.1097%2fEDE.0000000000001050&partnerID=40&md5=5c420604ce60ba0db8ffa29bd642b409,"National Institute for Public Health and the Environment-RIVM, PO Box 1, Bilthoven, 3720BA, Netherlands; Erasmus Medical Center, Rotterdam, Netherlands; Leiden University Medical Center, Leiden, Netherlands","During an infectious disease outbreak, timely information on the number of new symptomatic cases is crucial. However, the reporting of new cases is usually subject to delay due to the incubation period, time to seek care, and diagnosis. This results in a downward bias in the numbers of new cases by the times of symptoms onset towards the current day. The real-time assessment of the current situation while correcting for underreporting is called nowcasting. We present a nowcasting method based on bivariate P-spline smoothing of the number of reported cases by time of symptoms onset and delay. Our objective is to predict the number of symptomatic-but-not-yet-reported cases and combine these with the already reported symptomatic cases into a nowcast. We assume the underlying two-dimensional reporting intensity surface to be smooth. We include prior information on the reporting process as additional constraints: the smooth surface is unimodal in the reporting delay dimension, is (almost) zero at a predefined maximum delay and has a prescribed shape at the beginning of the outbreak. Parameter estimation is done efficiently by penalized iterative weighted least squares. We illustrate our method on a large measles outbreak in the Netherlands. We show that even with very limited information the method is able to accurately predict the number of symptomatic-but-not-yet-reported cases. This results in substantially improved monitoring of new symptomatic cases in real time. Â© 2019 Wolters Kluwer Health, Inc. All rights reserved.",Asymmetric penalty;  Bivariate smoothing;  Constrained P-splines;  Incidence monitoring;  Infectious disease outbreaks;  Nowcasting,Article,Scopus,True,5,737-745,,
"Hassan Zadeh, A. and Zolbanin, H.M. and Sharda, R. and Delen, D.",Social Media for Nowcasting Flu Activity: Spatio-Temporal Big Data Analysis,Information Systems Frontiers,2019,21,10.1007/s10796-018-9893-0,,cited By 2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059700668&doi=10.1007%2fs10796-018-9893-0&partnerID=40&md5=7cc46c4020c097d7e000ab808e5f9718,"Department of Information Systems and Supply Chain Management, Raj Soin College of Business, Wright State University, Dayton, OH, United States; Department of Information Systems and Operations Management, Miller College of Business, Ball State University, Muncie, IN, United States; Department of Management Science and Information Systems, Spears School of Business, Oklahoma State University, Stillwater, OK, United States","Contagious diseases pose significant challenges to public healthcare systems all over the world. The rise in emerging contagious and infectious diseases has led to calls for the use of new techniques and technologies capable of detecting, tracking, mapping and managing behavioral patterns in such diseases. In this study, we used Big Data technologies to analyze two sets of flu (influenza) activity data: Twitter data were used to extract behavioral patterns from a location-based social network and to monitor flu outbreaks (and their locations) in the US, and Cerner HealthFacts data warehouse was used to track real-world clinical encounters. We expected that the integration (mashing) of social media and real-world clinical encounters could be a valuable enhancement to the existing surveillance systems. Our results verified that flu-related traffic on social media is closely related with actual flu outbreaks. However, rather than using simple Pearson correlation, which assumes a zero lag between the online and real-world activities, we used a multi-method data analytics approach to obtain the spatio-temporal cross-correlation between the two flu trends and to explain behavioral patterns during the flu season. We found that clinical flu encounters lag behind online posts. Also, we identified several public locations from which a majority of posts initiated. These findings can help health authorities develop more effective interventions (behavioral and/or otherwise) during the outbreaks to reduce the spread and impact, and to inform individuals about the locations they should avoid during those periods. Â© 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Behavioral analytics;  Big data;  Business analytics;  Location analytics;  Public health;  Social media,Article,Scopus,False,4,743-760,,No focus on statistical method but on additional data source instead.
"Kandula, S. and Shaman, J.",Near-term forecasts of influenza-like illness: An evaluation of autoregressive time series approaches,Epidemics,2019,27,10.1016/j.epidem.2019.01.002,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061629187&doi=10.1016%2fj.epidem.2019.01.002&partnerID=40&md5=05ce89c573d614b4bfeef6d51f97aa2b,"Department of Environmental Health Sciences, Columbia University, New York, NY, United States","Seasonal influenza in the United States is estimated to cause 9â35 million illnesses annually, with resultant economic burden amounting to $47-$150 billion. Reliable real-time forecasts of influenza can help public health agencies better manage these outbreaks. Here, we investigate the feasibility of three autoregressive methods for near-term forecasts: an Autoregressive Integrated Moving Average (ARIMA) model with time-varying order; an ARIMA model fit to seasonally adjusted incidence rates (ARIMA-STL); and a feed-forward autoregressive artificial neural network with a single hidden layer (AR-NN). We generated retrospective forecasts for influenza incidence one to four weeks in the future at US National and 10 regions in the US during 5 influenza seasons. We compared the relative accuracy of the point and probabilistic forecasts of the three models with respect to each other and in relation to two large external validation sets that each comprise at least 20 other models. Both the probabilistic and point forecasts of AR-NN were found to be more accurate than those of the other two models overall. An additional sub-analysis found that the three models benefitted considerably from the use of search trends based 'nowcast' as a proxy for surveillance data, and these three models with use of nowcasts were found to be the highest ranked models in both validation datasets. When the nowcasts were withheld, the three models remained competitive relative to models in the validation sets. The difference in accuracy among the three models, and relative to models of the validation sets, was found to be largely statistically significant. Our results suggest that autoregressive models even when not equipped to capture transmission dynamics can provide reasonably accurate near-term forecasts for influenza. Existing support in open-source libraries make them suitable non-naÃ¯ve baselines for model comparison studies and for operational forecasts in resource constrained settings where more sophisticated methods may not be feasible. Â© 2019 The Authors",Auto-regressive models;  Forecasts;  Influenza-like illness;  Near-term incidence;  Neural networks,Article,Scopus,True,,41-51,,
